totim,kstp,kper,zone,ghb-in,sfr-in,ghb-out,sfr-out,from-zone-0,from-zone-1,from-zone-2,from-zone-3,to-zone-0,to-zone-1,to-zone-2,to-zone-3
571.0,1,20,2,0.0,0.0,0.0,0.0,0.0,6157.873922295048,0.0,5263.198456662519,0.0,5271.536761832733,0.0,6150.884533627405
571.0,1,20,3,0.0,0.0,0.0,0.0,0.0,0.0,6150.884533627405,0.0,0.0,0.0,5263.198456662519,0.0
601.0,1,21,1,0.0,1.698780605106094,1075.691078873973,2952.90639662133,0.0,0.0,3661.270456098292,0.0,0.0,0.0,4540.380559015706,0.0
601.0,1,21,2,0.0,0.0,0.0,0.0,0.0,4540.380559015706,0.0,3655.459508374236,0.0,3661.270456098292,0.0,4536.644803127634
601.0,1,21,3,0.0,0.0,0.0,0.0,0.0,0.0,4536.644803127634,0.0,0.0,0.0,3655.459508374236,0.0
631.0,1,22,1,0.0,1.753956124083743,615.0379619992254,1500.123998029323,0.0,0.0,1917.350587992567,0.0,0.0,0.0,2794.105536912582,0.0
631.0,1,22,2,0.0,0.0,0.0,0.0,0.0,2794.105536912582,0.0,1914.004665251011,0.0,1917.350587992567,0.0,2793.064732225759
631.0,1,22,3,0.0,0.0,0.0,0.0,0.0,0.0,2793.064732225759,0.0,0.0,0.0,1914.004665251011,0.0
661.0,1,23,1,0.0,1.488052881245721,242.1554873552377,329.7390982899224,0.0,0.0,506.499688284208,0.0,0.0,0.0,1387.137118030939,0.0
661.0,1,23,2,0.0,0.0,0.0,0.0,0.0,1387.137118030939,0.0,503.7476770624459,0.0,506.499688284208,0.0,1386.311226183178
661.0,1,23,3,0.0,0.0,0.0,0.0,0.0,0.0,1386.311226183178,0.0,0.0,0.0,503.7476770624459,0.0
691.0,1,24,1,0.0,262.4641085156397,56.23240855341828,0.0,0.0,0.0,51.39511635927822,0.0,0.0,0.0,941.1984778486386,0.0
691.0,1,24,2,0.0,0.0,0.0,0.0,0.0,941.1984778486386,0.0,51.179867491937,0.0,51.39511635927822,0.0,942.0156877902708
691.0,1,24,3,0.0,0.0,0.0,0.0,0.0,0.0,942.0156877902708,0.0,0.0,0.0,51.179867491937,0.0
721.0,1,25,1,0.0,137.7328280886159,112.9056700856563,4.448502901943812,0.0,0.0,104.7666164446746,0.0,0.0,0.0,1007.276314423598,0.0
721.0,1,25,2,0.0,0.0,0.0,0.0,0.0,1007.276314423598,0.0,104.1857236343341,0.0,104.7666164446746,0.0,1006.511486286734
721.0,1,25,3,0.0,0.0,0.0,0.0,0.0,0.0,1006.511486286734,0.0,0.0,0.0,104.1857236343341,0.0
