time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-1496.538101686490,-1044.801147988100,3142.984418809141
31.00000000000,-1129.901680329630,-784.0717473719327,2515.678521391316
61.00000000000,-1644.018248644699,-1160.407479341378,3406.001098502014
91.00000000000,-2380.280061774980,-1673.491153695601,4655.135614437721
121.0000000000,-2972.253993264838,-2074.308688945573,5647.723810463873
151.0000000000,-3222.852416292601,-2232.586763825614,6056.536857548019
181.0000000000,-3037.139053055932,-2087.660239324652,5726.030106565669
211.0000000000,-2455.108837935456,-1673.381448929775,4729.986300543512
241.0000000000,-1629.499542820495,-1101.274770249354,3332.497632030209
271.0000000000,-775.1066819959933,-521.3357999769717,1898.178643073678
301.0000000000,-112.4133543075940,-84.87391681131470,798.7089686112610
331.0000000000,190.7088103494148,99.46822322454042,310.8267036739249
361.0000000000,56.62908819385441,-5.594279368430207,550.1414543051136
391.0000000000,-484.7635413173484,-383.0879093139401,1469.362567692103
421.0000000000,-1296.562117476172,-942.7419295290125,2840.873620395284
451.0000000000,-2165.583286468127,-1535.844613559279,4302.834111771144
481.0000000000,-2861.413131244471,-2004.194594653005,5466.797145835982
511.0000000000,-3197.763714176019,-2219.610360803744,6018.470449548916
541.0000000000,-3087.567383225447,-2125.608380019710,5814.375590331967
571.0000000000,-2560.989890032208,-1748.132129704865,4910.575377167972
601.0000000000,-1760.123844568455,-1191.084433572982,3552.907057382593
631.0000000000,-895.8673480192389,-602.5036899768934,2100.124987929341
661.0000000000,-192.0770819167030,-136.1752806716390,929.7404158014311
691.0000000000,172.3745520270353,90.08734618847522,338.5804705920350
721.0000000000,104.7095650732603,28.57588019598036,467.8327133934447
